ym,region,country,visitors,visitors_yoy,visitors_vs_2019,prefecture,region_block,foreign_guest_nights,guest_nights_yoy,guest_nights_vs_2019,updated_at
2019-10,集計,ヨーロッパ計,248153,,0.0,,,,,,2026-06-09 00:08:19
2019-11,集計,ヨーロッパ計,165715,,0.0,,,,,,2026-06-09 00:08:19
2019-12,集計,ヨーロッパ計,123708,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,英国,21554,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,英国,23554,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,英国,38610,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,英国,44537,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,英国,31642,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,英国,25801,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,英国,28928,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,英国,26213,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,英国,49580,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,英国,68401,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,英国,37709,,0.0,,,,,,2026-06-09 00:08:19
2019-12,欧州,英国,27750,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,フランス,15320,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,フランス,17397,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,フランス,29408,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,フランス,46005,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,フランス,30863,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,フランス,21317,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,フランス,34634,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,フランス,30851,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,フランス,26530,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,フランス,39457,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,フランス,24290,,0.0,,,,,,2026-06-09 00:08:19
2019-12,欧州,フランス,20261,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,ドイツ,11358,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,ドイツ,13384,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,ドイツ,28659,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,ドイツ,27829,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,ドイツ,21552,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,ドイツ,15697,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,ドイツ,18593,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,ドイツ,17264,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,ドイツ,22768,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,ドイツ,26276,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,ドイツ,19525,,0.0,,,,,,2026-06-09 00:08:19
