ym,country,prefecture,region_block,foreign_guest_nights,guest_nights_yoy,source,updated_at
2024-01,総数,群馬県,関東,28360,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,韓国,群馬県,関東,1690,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,中国,群馬県,関東,2750,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,香港,群馬県,関東,3670,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,台湾,群馬県,関東,8650,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,米国,群馬県,関東,1310,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,カナダ,群馬県,関東,260,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,英国,群馬県,関東,220,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ドイツ,群馬県,関東,140,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フランス,群馬県,関東,160,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ロシア,群馬県,関東,20,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,シンガポール,群馬県,関東,800,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,タイ,群馬県,関東,2720,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,マレーシア,群馬県,関東,350,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インド,群馬県,関東,40,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,豪州,群馬県,関東,1280,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インドネシア,群馬県,関東,600,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ベトナム,群馬県,関東,120,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フィリピン,群馬県,関東,210,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,イタリア,群馬県,関東,130,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
